OBJECTID,name,description,pic_url,thumb_url,categoryID,artifactID,categoryName,lat,long,score,icon_color,Tab_Name
1728,Jug,STONEWARE,http://source.techno-science.ca/artifacts-artefacts/images/1968.0463.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0463.001.aa.cs.thumb.png,2147,4982,Manufacturer,44.149031899999997,-77.212647300000000,76,R,Canada
1729,"Receiver, radio","DARK BROWN STAINED WOOD/BAKELITE FACE/ METAL, BRASS ? FITTINGS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0466.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0466.001.aa.cs.thumb.png,2148,4985,Manufacturer,56.130366000000002,-106.346771000000000,52,R,Canada
1730,"Receiver, radio",WOOD BOX WITH BAKELITE FACE AND METAL FITTINGS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0467.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0467.001.aa.cs.thumb.png,2149,4986,Manufacturer,43.250020800000009,-79.866091400000002,76,R,Canada
1731,"Receiver, radio","CABINET WOOD/ CHASSIS METAL/ TUBE CIRCUITRY - GLASS, METAL, BAKELITE/ CLOTH SPEAKER GRILLS",http://source.techno-science.ca/artifacts-artefacts/images/1968.0468.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0468.001.aa.cs.thumb.png,2150,4987,Manufacturer,43.653225999999997,-79.383184299999996,76,R,Canada
1732,"Saw, band",,http://source.techno-science.ca/artifacts-artefacts/images/1968.0471.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0471.001.aa.cs.thumb.png,2151,4989,Manufacturer,56.130366000000002,-106.346771000000000,52,R,Canada
1733,Seeder,LONG WOOD SEEDER BOX ATTACHED TO WHEEL BARROW WITH LARGE IRON WHEEL WITH THIN SPOKES,http://source.techno-science.ca/artifacts-artefacts/images/1968.0472.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0472.001.aa.cs.thumb.png,2152,4990,Manufacturer,43.553434600000003,-81.393404899999993,76,R,Canada
1734,"Converter, static frequency",STEEL CHASSIS/ METAL & SYNTHETIC WORKING PARTS/ SYNTHETIC CORD,http://source.techno-science.ca/artifacts-artefacts/images/1968.0475.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0475.001.aa.cs.thumb.png,2153,5006,Manufacturer,41.452818999999998,-82.182374600000003,76,R,The United States
1735,Ringing machine,"STEEL CASE/ LAMINATED STEEL ROTOR WITH COPPER MAGNET WIRE WINDINGS/ COPPER COMMUTATOR AND SLIP RINGS/ CARBON BRUSHES/ COPPER AND PLASTIC BRUSH HOLDERS/ STEEL SPRINGS/ GEAR DRIVEN INTERRUPTOR INCLUDES STEEL SHAFT WITH BAKELITE CAMS, AND BRASS CONTACT SPRING ASSEMBLIES AND CONTACT MATERIAL",http://source.techno-science.ca/artifacts-artefacts/images/1968.0476.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0476.001.aa.cs.thumb.png,2154,5007,Manufacturer,51.507350899999999,-0.127758300000000,76,R,Europe
1736,"Receiver, radio",,http://source.techno-science.ca/artifacts-artefacts/images/1968.0477.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0477.001.aa.cs.thumb.png,2155,5008,Manufacturer,52.133214400000000,-106.670045800000000,76,R,Canada
1737,"Transmitter, radio",BAKELITE DIALS/ COPPER TUBING/ METAL CHASSIS/ GLASS TUBES AND LAMPS,http://source.techno-science.ca/artifacts-artefacts/images/1968.0478.001.aa.cs.png,http://source.techno-science.ca/artifacts-artefacts/images/1968.0478.001.aa.cs.thumb.png,2156,5009,Manufacturer,52.133214400000000,-106.670045800000000,76,R,Canada
